No.;Name of the station;Line 1;Line 2;Line 3;Line 4;Line 5
1;Бульвар Рокоссовского;1;14;;;
2;Черкизовская-Локомотив;1;14;;;
3;Преображенская площадь;1;;;;
4;Сокольники-Митьково;1;11;D3;;
5;Красносельская;1;;;;
6;Комсомольская-Площадь трёх вокзалов;1;5;D2;D4;
7;Красные Ворота;1;;;;
8;Чистые пруды-Тургеневская-Сретенский бульвар;1;6;10;;
9;Лубянка-Кузнецкий Мост;1;7;;;
10;Охотный Ряд-Театральная-Площадь Революции;1;2;3;;
11;Библиотека имени Ленина-Арбатская-Александровский сад-Боровицкая;1;3;4;9;
12;Кропоткинская;1;;;;
13;Парк культуры;1;5;;;
14;Фрунзенская;1;;;;
15;Спортивная-Лужники;1;14;;;
16;Воробьёвы горы;1;;;;
17;Университет;1;;;;
18;Проспект Вернадского;1;11;;;
19;Юго-Западная;1;;;;
20;Тропарёво;1;;;;
21;Румянцево;1;;;;
22;Саларьево;1;;;;
23;Филатов Луг;1;;;;
24;Прокшино;1;;;;
25;Ольховая;1;;;;
26;Новомосковская;1;16;;;
27;Потапово;1;;;;
28;Ховрино;2;D3;;;
29;Беломорская;2;;;;
30;Речной вокзал;2;;;;
31;Водный стадион;2;;;;
32;Войковская-Балтийская;2;14;D2;;
33;Сокол;2;;;;
34;Аэропорт;2;;;;
35;Динамо-Петровский парк;2;11;;;
36;Белорусская;2;5;D1;D4;
37;Маяковская;2;;;;
38;Тверская-Пушкинская-Чеховская;2;7;9;;
39;Новокузнецкая-Третьяковская;2;6;8;;
40;Павелецкая;2;5;;;
41;Автозаводская;2;14;;;
42;Технопарк;2;;;;
43;Коломенская;2;;;;
44;Каширская;2;11;;;
45;Кантемировская;2;;;;
46;Царицыно;2;D2;;;
47;Орехово;2;;;;
48;Домодедовская;2;;;;
49;Красногвардейская-Зябликово;2;10;;;
50;Алма-Атинская;2;;;;
51;Пятницкое шоссе;3;;;;
52;Митино;3;;;;
53;Волоколамская;3;D2;;;
54;Мякинино;3;;;;
55;Строгино;3;;;;
56;Крылатское;3;;;;
57;Молодёжная;3;;;;
58;Кунцевская;3;4;11;D1;
59;Славянский бульвар;3;D1;;;
60;Парк Победы-Поклонная;3;8A;D4;;
61;Киевская;3;4;5;;
62;Смоленская-3;3;;;;
63;Курская-Чкаловская;3;5;10;D2;D4
64;Бауманская;3;;;;
65;Электрозаводская;3;11;D3;;
66;Семёновская;3;;;;
67;Партизанская-Измайлово;3;14;;;
68;Измайловская;3;;;;
69;Первомайская;3;;;;
70;Щёлковская;3;;;;
71;Кутузовская;4;14;D4;;
72;Студенческая;4;;;;
73;Москва-Сити;4A;14;D1;D4;
74;Деловой центр;4A;8A;;;
75;Фили;4;D1;;;
76;Багратионовская;4;;;;
77;Филёвский парк;4;;;;
78;Пионерская;4;;;;
79;Смоленская-4;4;;;;
80;Арбатская-4;4;;;;
81;Краснопресненская-Баррикадная;5;7;;;
82;Новослободская-Менделеевская;5;9;;;
83;Проспект Мира;5;6;;;
84;Таганская-Марксистская;5;7;8;;
85;Добрынинская-Серпуховская;5;9;;;
86;Октябрьская;5;6;;;
87;Медведково;6;;;;
88;Бабушкинская;6;;;;
89;Свиблово;6;;;;
90;Ботанический сад;6;14;;;
91;ВДНХ;6;;;;
92;Алексеевская;6;;;;
93;Рижская;6;11;D2;D4;
94;Сухаревская;6;;;;
95;Китай-город;6;7;;;
96;Шаболовская;6;;;;
97;Ленинский проспект-Площадь Гагарина;6;14;;;
98;Академическая;6;16;;;
99;Профсоюзная;6;;;;
100;Новые Черёмушки;6;;;;
101;Калужская-Воронцовская;6;11;;;
102;Беляево;6;;;;
103;Коньково;6;;;;
104;Тёплый Стан;6;;;;
105;Ясенево;6;;;;
106;Новоясеневская-Битцевский парк;6;12;;;
107;Планерная;7;;;;
108;Сходненская;7;;;;
109;Тушинская;7;D2;;;
110;Спартак;7;;;;
111;Щукинская;7;D2;;;
112;Октябрьское поле-Зорге;7;14;;;
113;Полежаевская-Хорошёво-Хорошёвская;7;11;14;;
114;Беговая;7;D1;;;
115;Улица 1905 года;7;;;;
116;Пролетарская-Крестьянская Застава;7;10;;;
117;Волгоградский проспект-Угрешская;7;14;;;
118;Текстильщики;7;11;D2;;
119;Кузьминки;7;;;;
120;Рязанский проспект;7;D3;;;
121;Выхино;7;D3;;;
122;Лермонтовский проспект-Косино;7;15;D3;;
123;Жулебино;7;;;;
124;Котельники;7;;;;
125;Новокосино-Реутов;8;D4;;;
126;Новогиреево;8;D4;;;
127;Перово-8;8;;;;
128;Шоссе Энтузиастов;8;14;;;
129;Авиамоторная;8;11;;;
130;Площадь Ильича-Римская-Москва-Товарная-Серп и Молот;8;10;D2;D4;
131;Минская;8A;D4;;;
132;Ломоносовский проспект;8A;;;;
133;Раменки;8A;;;;
134;Мичуринский проспект;8A;11;;;
135;Озёрная;8A;;;;
136;Говорово;8A;;;;
137;Солнцево;8A;;;;
138;Боровское шоссе;8A;;;;
139;Новопеределкино-8А;8A;;;;
140;Рассказовка;8A;;;;
141;Пыхтино;8A;;;;
142;Аэропорт Внуково;8A;;;;
143;Алтуфьево;9;;;;
144;Бибирево;9;;;;
145;Отрадное;9;;;;
146;Владыкино;9;14;;;
147;Петровско-Разумовская;9;10;D1;D3;
148;Тимирязевская;9;D1;;;
149;Дмитровская;9;D2;;;
150;Савёловская;9;11;D1;;
151;Цветной бульвар-Трубная;9;10;;;
152;Полянка;9;;;;
153;Тульская;9;;;;
154;Нагатинская-Верхние Котлы;9;14;;;
155;Нагорная;9;;;;
156;Нахимовский проспект;9;;;;
157;Каховская-Севастопольская;9;11;;;
158;Чертановская;9;;;;
159;Южная;9;;;;
160;Пражская;9;;;;
161;Улица Академика Янгеля;9;;;;
162;Аннино;9;;;;
163;Бульвар Дмитрия Донского-Улица Старокачаловская;9;12;;;
164;Физтех;10;;;;
165;Лианозово;10;D1;;;
166;Яхромская;10;;;;
167;Селигерская;10;;;;
168;Верхние Лихоборы;10;;;;
169;Окружная;10;14;D1;;
170;Фонвизинская;10;;;;
171;Бутырская-Останкино;10;D3;;;
172;Марьина Роща;10;11;D2;D4;
173;Достоевская;10;;;;
174;Дубровка;10;14;;;
175;Кожуховская;10;14;;;
176;Печатники;10;11;D2;;
177;Волжская;10;;;;
178;Люблино-10;10;;;;
179;Братиславская;10;;;;
180;Марьино;10;;;;
181;Борисово;10;;;;
182;Шипиловская;10;;;;
183;Давыдково;11;;;;
184;Аминьевская;11;D4;;;
185;Новаторская;11;16;;;
186;Зюзино;11;;;;
187;Варшавская;11;;;;
188;Кленовый бульвар;11;;;;
189;Нагатинский Затон;11;;;;
190;Нижегородская;11;14;15;D4;
191;Лефортово;11;;;;
192;ЦСКА;11;;;;
193;Народное Ополчение;11;;;;
194;Мнёвники;11;;;;
195;Терехово;11;;;;
196;Лесопарковая;12;;;;
197;Улица Скобелевская;12;;;;
198;Бульвар Адмирала Ушакова;12;;;;
199;Улица Горчакова;12;;;;
200;Бунинская аллея;12;;;;
201;Шелепиха;14;;;;
202;Крымская;14;16;;;
203;ЗИЛ;14;16;;;
204;Новохохловская;14;D2;;;
205;Андроновка;14;D3;;;
206;Соколиная Гора;14;;;;
207;Белокаменная;14;;;;
208;Ростокино;14;;;;
209;Лихоборы;14;D3;;;
210;Коптево;14;;;;
211;Панфиловская;14;7;;;
212;Стрешнево;14;D2;2;;
213;Стахановская;15;;;;
214;Окская;15;;;;
215;Юго-Восточная;15;;;;
216;Улица Дмитриевского;15;;;;
217;Лухмановская;15;;;;
218;Некрасовка;15;;;;
219;Вавиловская;16;;;;
220;Университет Дружбы Народов;16;;;;
221;Генерала Тюленева;16;;;;
222;Тютчевская;16;;;;
223;Корниловская;16;;;;
224;Коммунарка;16;;;;
225;Сетунь;D1;;;;
226;Рабочий Посёлок;D1;;;;
227;Дегунино;D1;;;;
228;Бескудниково;D1;;;;
229;Марк;D1;;;;
230;Трикотажная;D2;;;;
231;Красный Балтиец;D2;;;;
232;Гражданская;D2;;;;
233;Калитники;D2;;;;
234;Люблино-D2;D2;;;;
235;Депо;D2;;;;
236;Перерва;D2;;;;
237;Курьяново;D2;;;;
238;Москворечье;D2;;;;
239;Покровское;D2;;;;
240;Красный Строитель;D2;;;;
241;Битца;D2;;;;
242;Бутово;D2;;;;
243;Щербинка;D2;;;;
244;Остафьево;D2;;;;
245;Грачёвская;D3;;;;
246;Моссельмаш;D3;;;;
247;Сортировочная;D3;;;;
248;Перово-D3;D3;D4;;;
249;Плющево;D3;;;;
250;Вешняки;D3;7;;;
251;Косино;D3;7;15;;
252;Ухтомская;D3;;;;
253;Внуково;D4;;;;
254;Мичуринец;D4;;;;
255;Переделкино;D4;;;;
256;Солнечная;D4;D4A;;;
257;Новопеределкино-D4A;D4;;;;
258;Мещерская;D4;;;;
259;Очаково;D4;;;;
260;Матвеевская;D4;;;;
261;Чухлинка;D4;D3;;;
262;Кусково;D4;;;;
